course_id_num,module_id,category_num,start,children
11,L1s4VseGlRT302GZlJNStvtJZnvnr3IJ,0,null,
11,HxVne4dRqhXXf9FEsuUxVBG2THLkXgGV,0,null,
11,3fpwAdewUyNZkLToSwy7eWQmmglHzA0G,1,2014-08-11T01:00:00,wq9HGmGdGoXFRgp4KQzo7WD8RSwwckZL X2rMpSy9lvzEePcRPUXZRrFexnkU1Cmt aPX7zs9ZHQAKIOOZuctOByNugI7nVmHK p1VJppffhgiWRSnf77spMRrwlcnJWG8c dP12mcwvdfBbUfdHhu2r3cXGalXVWdAE lEclrvAiMw6bZux1hsGJB4DpFB4GpfoX 
11,qEdbIFRbbfpjN4tkWOq8kMsxES84yPfy,1,2014-07-28T01:00:00,nQZ5JRSJDlJ0XmlkYykP7iWt748Hp5uQ ehLxBxQUzqxrITqVWTJ1qHGlMP3srKO9 i7ZMFrfn2RmgiWvYvo6x34nC5grwiVNQ fZ32UPUvph4rSNeqRailjvPHusIIVT0F la04MCD9HxfOFYBVfa4BjtzmIW6jM1Ik 5pjnL9wgKcZ2fI8ezgs1H9W39CpjxWij 
11,q9vSHnqnL8T6MSYy1QZ1d1v8gb7HqKIc,1,2014-08-25T01:00:00,aifkOeC4slG9VREeJqwyVeLriGIqAUjY 8u4PaPNvjqjSf6yOaJyAUVsP6pgKduZI wCwGorMD8c2alydefzjqIIJS8DoVoZ9Z 1xc3bbHGup1IWMQHPWiqyMmjUIzj0a3c 1wZB5J60Cnyg6CuNcAoP95tVMzuHoVKF bFKig7U9KM1nYALPqwomjn0kSLqHQLbD 
11,jChJZWA7TPrU7h1y5uZfnwajue9MzGBn,1,2014-09-15T01:00:00,0Udvd0Ezus6AFXWcrWuLOvnUgfqVsuVQ EJcTykn9LulFZnEcHa3HpMTU4zYyjoFY uVX4q1jAF5ybEq4638AXWwkItP6fuEIw 
11,54D4zY2cdRyG83ZfykBka35LzNS04AXi,1,2014-10-16T01:00:00,iobkSlnkHFHMfGsQfOMsKDndiFEC5BA2 
11,zDoPYVWL0APn1CAim3uMOBoSA6sGt9MZ,1,2014-09-08T01:00:00,wpsagYNi4XOOkSz8Hp83dGZOJX7pZv0q r3fv5rVi1V2Pqsc5vNNsu72Ly3tTlRve SseIsJARgYj0lF7VfESVeUlvpOur2Bav IbfNSsf1r5I5uzwijujWen3nbuAoiDYR MmXDWqZ0632YWcPOtg0D13XoqYgEBGoW 
11,lFaL098pNcCMxay4b7YvzwmolqCVT03N,1,2014-06-02T01:00:00,HElGYBEVde6aSSc5er5WZMkzAdiQ5rl6 MQZcApsTY2oQbjUqyAQX7jNWENKU34VI nJiq11cY4D92xzw7dWOYDtY4aHWyUECT DlNh6XOYtoaW8jXBzkwCaaCRIQhojvnK YwpRsHvwZn5TRNWBDFiw7bNcol5QdCOw IeOtICLticIkr0jFzp2AhwfreD4AYwiP 
11,I6LKQXheMldlnI1vCTZBBVq3RxLAOxpE,1,2014-08-04T01:00:00,8z724RQsocJ9SeLYvsFHpQT3g3oGHtl4 ClbOOMNGNUi9I4en3jEEcuXk21PKiAwI VlAWsbebHxzlHIZZnQZe1M7nteLy8L3J R6juIMETjbKkgQLHFqycV0IpgY8tiJfs Nmmj1hWfzIuT4Jz60CRnIf42kpJlvCYE YMyhoOffHMcs4Hwrviwo3FhuGYkG0oTh dSSUM9U4dfS9p0zy8GkhLT28jWrogoUt 
11,0lrB7xh60Mnfp83JZY0GbnYiVgQIcdBz,1,2014-05-26T01:00:00,5gfPqvNu5c3fUoO5GsEsQNIy395XgszO S0J3yBalja0j8xUyq70LaYTTyzWRsncU SobnzbsVlBRvlbzdrdvR82KTutciXdMn U0AoQ19GwH4IJTelIUpSGKsWrz3sI439 YxCLDt6pXEMQHwgRlcWTKF6L39KFfw8W 
11,W569V82FPFMc3YKyMh7mUoAaiYAESfci,1,2014-07-07T01:00:00,9amIcI4QtFFMu3p7lFnf03mdlPLnN4C1 LUs5ibuzSy144ayGapnLHbQBMcqAAeBj BwzdIXu36vQBHVBs910X7zTCmtyxRo1Z vLMoGNUO2M8uGimpqaBQowWYWCpXCeG8 BwZJZMzKY0SXGTRUyzAqro6RQqi56PzR 
11,t62YLbx6JfoGf6znvwn2yvoAkQP47N3O,1,2014-06-23T01:00:00,JGlvuUfdHcMgNoPo9DoxjOaHlcKeAKYq Y7lnTNGcpc3zClpNsgSA4OFv0crKWkIs AwIgkO1ErK85tloXD1AYIO5X7VigHfC5 cDDoHe9IaTBOf6O5pnlxVPWSWLYTmPF6 XDmwKxPloR4qZ5ITHKKEbPotcFk4GLsG GXMl9hAJc7mN2D7iAJRbYAHkRsHPtFGC 
11,sZheQFLQDOSqmjBA12i2NVVuHTmiLaDm,1,2014-08-18T01:00:00,BQwyoC91TNPuEBNf6gt9lHRXU5tx0ROC I8M3HcyUuEYnJ6JcMYjM5wa6m77ljUm0 TJ2PM3vxF1tWOwCeCaGRWmXhRSJ2DpeR yIrc1Kx6gATUc1TntXGsFCdxPoVAQ5ke nuBUIBfqJAUwXz015YdCYF0ehVG0ai2j Wrf9dppKhwGjplefC5GGJAkITp5tlkBv R5sk309ofT3YgvK23sAWDgHhSds15NNP 
